Npp;Name;OnPoint;FieldCoord;Line;PropBorders;IsFictive
43;Point_s14;;FieldCoord(-691, CoordinateSystem_EC);Line_6Put_Ribats;;
44;Point_s18;;FieldCoord(-683, CoordinateSystem_EC);Line_1Put_Ribats;;
45;Point_s22;;FieldCoord(-622, CoordinateSystem_EC);Line_6Put_Ribats;;
46;Point_s20;;FieldCoord(-607, CoordinateSystem_EC);Line_3Put_Ribats;;
47;Point_s24;;FieldCoord(-560, CoordinateSystem_EC);Line_8Put_Ribats;;
48;Point_s26;;FieldCoord(-537, CoordinateSystem_EC);Line_1Put_Ribats;;
49;Point_s30;;FieldCoord(-444, CoordinateSystem_EC);Line_1Put_Ribats;;
50;Point_s36;;FieldCoord(-253, CoordinateSystem_EC);Line_6Put_Ribats;;
51;Point_s40;;FieldCoord(-247, CoordinateSystem_EC);Line_6Put_Ribats;;
52;Point_s44;;FieldCoord(-208, CoordinateSystem_EC);Line_8Put_Ribats;;
53;Point_s42;;FieldCoord(-163, CoordinateSystem_EC);Line_7Put_Ribats;;
54;Point_s46;;FieldCoord(-147, CoordinateSystem_EC);Line_8Put_Ribats;;
55;Point_s48;;FieldCoord(-128, CoordinateSystem_EC);Line_21_Ribats;;
56;Point_s50;;FieldCoord(-116, CoordinateSystem_EC);Line_21_Ribats;;
57;Point_s52;;FieldCoord(-60, CoordinateSystem_EC);Line_21_Ribats;;
58;Point_s54;;FieldCoord(-6, CoordinateSystem_EC);Line_13_Ribats;;
59;Point_s47;;FieldCoord(8, CoordinateSystem_EC);Line_13_Ribats;;
60;Point_s43;;FieldCoord(45, CoordinateSystem_EC);Line_11Put_Ribats;;
61;Point_s45;;FieldCoord(52, CoordinateSystem_EC);Line_13_Ribats;;
62;Point_s39;;FieldCoord(79, CoordinateSystem_EC);Line_3Put_Ribats;;
63;Point_s41;;FieldCoord(112, CoordinateSystem_EC);Line_9Put_Ribats;;
64;Point_s37;;FieldCoord(143, CoordinateSystem_EC);Line_19_Ribats;;
65;Point_s35;;FieldCoord(145, CoordinateSystem_EC);Line_19_Ribats;;
66;Point_s33;;FieldCoord(179, CoordinateSystem_EC);Line_19_Ribats;;
67;Point_s31;;FieldCoord(430, CoordinateSystem_EC);Line_3Put_Ribats;;
68;Point_s29;;FieldCoord(512, CoordinateSystem_EC);Line_1Put_Ribats;;
69;Point_s27;;FieldCoord(692, CoordinateSystem_EC);Line_4Put_Ribats;;
70;Point_s25;;FieldCoord(705, CoordinateSystem_EC);Line_4Put_Ribats;;
71;Point_s21;;FieldCoord(781, CoordinateSystem_EC);Line_4Put_Ribats;;
72;Point_s19;;FieldCoord(872, CoordinateSystem_EC);Line_7Put_Ribats;;
73;Point_s15;;FieldCoord(881, CoordinateSystem_EC);Line_1Put_Ribats;;
74;Point_s17;;FieldCoord(910, CoordinateSystem_EC);Line_4Put_Ribats;;
75;Point_s11;;FieldCoord(931, CoordinateSystem_EC);Line_4Put_Ribats;;
76;Point_s7;;FieldCoord(1022, CoordinateSystem_EC);Line_4Put_Ribats;;
77;Point_s5;;FieldCoord(1076, CoordinateSystem_EC);Line_4Put_Ribats;;
78;Point_s1;;FieldCoord(1130, CoordinateSystem_EC);Line_1Put_Ribats;;
79;Point_FictivEnd_3CHP;;FieldCoord(-810, CoordinateSystem_EC);GroundLine_3CHP;(GraphSegment_Ground,GraphSegment_Station);
80;Point_1RC_Obuh_1CH3P;Point_Link_Obuh_Kirov_1;;;(IsolSegment_1RC_Obuh,IsolSegment_1CH3P);True
81;Point_2RC_Obuh_2CH8P;Point_Link_Obuh_Kirov_2;;;(IsolSegment_2RC_Obuh,IsolSegment_2CH8P);True
82;Point_3RC_Obuh_3CH3P;Point_Link_Obuh_Kirov_3;;;(IsolSegment_3RC_Obuh,IsolSegment_3CH3P);True
83;Point_4RC_Obuh_4CH6P;Point_Link_Obuh_Kirov_4;;;(IsolSegment_4RC_Obuh,IsolSegment_4CH6P);True
84;Point_1CH3P_1CH1P;;FieldCoord( 'PK_127+41', CoordinateSystem_Picket_AB );Line_Kirov_1;(IsolSegment_1CH3P,IsolSegment_1CH1P);True
85;Point_3CH3P_3CH1P;;FieldCoord( 'PK_123+75' , CoordinateSystem_Picket_AB);Line_Kirov_3;(IsolSegment_3CH3P,IsolSegment_3CH1P);True
86;Point_2CH8P_2CH6P;;FieldCoord( 'PK_119+55' , CoordinateSystem_Picket_AB);Line_Kirov_2;(IsolSegment_2CH8P,IsolSegment_2CH6P);
87;Point_2CH6P_2CH4P;;FieldCoord( 'PK_124+85' , CoordinateSystem_Picket_AB);Line_Kirov_2;(IsolSegment_2CH6P,IsolSegment_2CH4P);
88;Point_2CH4P_2CH2P;;FieldCoord( 'PK_126+50' , CoordinateSystem_Picket_AB);Line_Kirov_2;(IsolSegment_2CH4P,IsolSegment_2CH2P);
89;Point_4CH6P_4CH4P;;FieldCoord( 'PK_121+53', CoordinateSystem_Picket_AB );Line_Kirov_4;(IsolSegment_4CH6P,IsolSegment_4CH4P);
90;Point_4CH4P_4CH2P;;FieldCoord( 'PK_126+23' , CoordinateSystem_Picket_AB);Line_Kirov_4;(IsolSegment_4CH4P,IsolSegment_4CH2P);
91;Point_1CH1P_1CHP;Point_Link_Ribats_Kirov_1;;;(IsolSegment_1CH1P,IsolSegment_1CHP);
92;Point_2CH2P_2CHDP;Point_Link_Ribats_Kirov_2;;;(IsolSegment_2CH2P,IsolSegment_2CHDP);
93;Point_3CH1P_3CHP;Point_Link_Ribats_Kirov_3;;;(IsolSegment_3CH1P,IsolSegment_3CHP);
94;Point_4CH2P_4CHDP;Point_Link_Ribats_Kirov_4;;;(IsolSegment_4CH2P,IsolSegment_4CHDP);
95;Point_1CHP_10SP;;FieldCoord(-865, CoordinateSystem_EC);Line_2Put_Ribats;(IsolSegment_1CHP,IsolSegment_10SP);
96;Point_10SP_6_8SP;;FieldCoord(-773, CoordinateSystem_EC);Line_2Put_Ribats;(IsolSegment_10SP,IsolSegment_6_8SP);
97;Point_6_8SP_16_34SP;;FieldCoord(-642, CoordinateSystem_EC);Line_2Put_Ribats;(IsolSegment_6_8SP,IsolSegment_16_34SP);
98;Point_16_34SP_32SP;;FieldCoord(-404, CoordinateSystem_EC);Line_2Put_Ribats;(IsolSegment_16_34SP,IsolSegment_32SP);
99;Point_32SP_38SP;;FieldCoord(-349, CoordinateSystem_EC);Line_2Put_Ribats;(IsolSegment_32SP,IsolSegment_38SP);
100;Point_38SP_2P;;FieldCoord(-281, CoordinateSystem_EC);Line_2Put_Ribats;(IsolSegment_38SP,IsolSegment_2P);
101;Point_2P_23SP;;FieldCoord(708, CoordinateSystem_EC);Line_2Put_Ribats;(IsolSegment_2P,IsolSegment_23SP);
102;Point_23SP_9_13SP;;FieldCoord(868, CoordinateSystem_EC);Line_2Put_Ribats;(IsolSegment_23SP,IsolSegment_9_13SP);
103;Point_9_13SP_3SP;;FieldCoord(1028, CoordinateSystem_EC);Line_2Put_Ribats;(IsolSegment_9_13SP,IsolSegment_3SP);
104;Point_3SP_2NDP;;FieldCoord(1188, CoordinateSystem_EC);Line_2Put_Ribats;(IsolSegment_3SP,IsolSegment_2NDP);
105;Point_3CHP_6_8SP;;FieldCoord(-882, CoordinateSystem_EC);Line_3CHP;(IsolSegment_3CHP,IsolSegment_6_8SP);
106;Point_4CHDP_4SP;;FieldCoord(-891, CoordinateSystem_EC);Line_1Put_Ribats;(IsolSegment_4CHDP,IsolSegment_4SP);
107;Point_4SP_18_26SP;;FieldCoord(-687, CoordinateSystem_EC);Line_1Put_Ribats;(IsolSegment_4SP,IsolSegment_18_26SP);
108;Point_18_26SP_30SP;;FieldCoord(-488, CoordinateSystem_EC);Line_1Put_Ribats;(IsolSegment_18_26SP,IsolSegment_30SP);
109;Point_30SP_1P;;FieldCoord(-381, CoordinateSystem_EC);Line_1Put_Ribats;(IsolSegment_30SP,IsolSegment_1P);
110;Point_1P_29SP;;FieldCoord(438, CoordinateSystem_EC);Line_1Put_Ribats;(IsolSegment_1P,IsolSegment_29SP);
111;Point_29SP_1AP;;FieldCoord(545, CoordinateSystem_EC);Line_1Put_Ribats;(IsolSegment_29SP,IsolSegment_1AP);
112;Point_1AP_15SP;;FieldCoord(877, CoordinateSystem_EC);Line_1Put_Ribats;(IsolSegment_1AP,IsolSegment_15SP);
113;Point_15SP_1SP;;FieldCoord(1013, CoordinateSystem_EC);Line_1Put_Ribats;(IsolSegment_15SP,IsolSegment_1SP);
114;Point_1SP_1NP;;FieldCoord(1149, CoordinateSystem_EC);Line_1Put_Ribats;(IsolSegment_1SP,IsolSegment_1NP);
115;Point_2CHDP_2SP;;FieldCoord(-887, CoordinateSystem_EC);Line_3Put_Ribats;(IsolSegment_2CHDP,IsolSegment_2SP);
116;Point_2SP_20SP;;FieldCoord(-714, CoordinateSystem_EC);Line_3Put_Ribats;(IsolSegment_2SP,IsolSegment_20SP);
117;Point_20SP_3P;;FieldCoord(-567, CoordinateSystem_EC);Line_3Put_Ribats;(IsolSegment_20SP,IsolSegment_3P);
118;Point_3P_39SP;;FieldCoord(75, CoordinateSystem_EC);Line_3Put_Ribats;(IsolSegment_3P,IsolSegment_39SP);
119;Point_39SP_3AP;;FieldCoord(155, CoordinateSystem_EC);Line_3Put_Ribats;(IsolSegment_39SP,IsolSegment_3AP);
120;Point_3AP_31SP;;FieldCoord(426, CoordinateSystem_EC);Line_3Put_Ribats;(IsolSegment_3AP,IsolSegment_31SP);
121;Point_31SP_3NP;;FieldCoord(591, CoordinateSystem_EC);Line_3Put_Ribats;(IsolSegment_31SP,IsolSegment_3NP);
122;Point_38SP_4P;;FieldCoord(-256, CoordinateSystem_EC);Line_4Put_Ribats;(IsolSegment_38SP,IsolSegment_4P);
123;Point_4P_27SP;;FieldCoord(613, CoordinateSystem_EC);Line_4Put_Ribats;(IsolSegment_4P,IsolSegment_27SP);
124;Point_27SP_25SP;;FieldCoord(702, CoordinateSystem_EC);Line_4Put_Ribats;(IsolSegment_27SP,IsolSegment_25SP);
125;Point_25SP_21SP;;FieldCoord(743, CoordinateSystem_EC);Line_4Put_Ribats;(IsolSegment_25SP,IsolSegment_21SP);
126;Point_21SP_17_19SP;;FieldCoord(785, CoordinateSystem_EC);Line_4Put_Ribats;(IsolSegment_21SP,IsolSegment_17_19SP);
127;Point_17_19SP_11SP;;FieldCoord(914, CoordinateSystem_EC);Line_4Put_Ribats;(IsolSegment_17_19SP,IsolSegment_11SP);
128;Point_11SP_5_7SP;;FieldCoord(982, CoordinateSystem_EC);Line_4Put_Ribats;(IsolSegment_11SP,IsolSegment_5_7SP);
129;Point_5_7SP_4NDP;;FieldCoord(1120, CoordinateSystem_EC);Line_4Put_Ribats;(IsolSegment_5_7SP,IsolSegment_4NDP);
130;Point_5P_27SP;;FieldCoord(629, CoordinateSystem_EC);Line_5Put_Ribats;(IsolSegment_5P,IsolSegment_27SP);
131;Point_RC_Kupch_CHKGP;Point_Link_Kupch_PeregKupch;;;(IsolSegment_RC_Kupch,IsolSegment_CHKGP);
132;Point_CHKGP_CHKAP;Point_Link_Ribats_PeregKupch;;;(IsolSegment_CHKGP,IsolSegment_CHKAP);
133;Point_CHKAP_12SP;;FieldCoord(-827, CoordinateSystem_EC);Line_6Put_Ribats;(IsolSegment_CHKAP,IsolSegment_12SP);
134;Point_12SP_14_24SP;;FieldCoord(-707, CoordinateSystem_EC);Line_6Put_Ribats;(IsolSegment_12SP,IsolSegment_14_24SP);
135;Point_14_24SP_22_36P;;FieldCoord(-537, CoordinateSystem_EC);Line_6Put_Ribats;(IsolSegment_14_24SP,IsolSegment_22_36P);
136;Point_22_36P_36_40SP;;FieldCoord(-314, CoordinateSystem_EC);Line_6Put_Ribats;(IsolSegment_22_36P,IsolSegment_36_40SP);
137;Point_36_40SP_6P;;FieldCoord(-185, CoordinateSystem_EC);Line_6Put_Ribats;(IsolSegment_36_40SP,IsolSegment_6P);
138;Point_6P_21SP;;FieldCoord(716, CoordinateSystem_EC);Line_6Put_Ribats;(IsolSegment_6P,IsolSegment_21SP);
139;Point_14_24SP_7AP;;FieldCoord(-502, CoordinateSystem_EC);Line_7Put_Ribats;(IsolSegment_14_24SP,IsolSegment_7AP);
140;Point_7AP_42SP;;FieldCoord(-224, CoordinateSystem_EC);Line_7Put_Ribats;(IsolSegment_7AP,IsolSegment_42SP);
141;Point_42SP_7P;;FieldCoord(-152, CoordinateSystem_EC);Line_7Put_Ribats;(IsolSegment_42SP,IsolSegment_7P);
142;Point_7P_17_19SP;;FieldCoord(809, CoordinateSystem_EC);Line_7Put_Ribats;(IsolSegment_7P,IsolSegment_17_19SP);
143;Point_14_24SP_8AP;;FieldCoord(-485, CoordinateSystem_EC);Line_8Put_Ribats;(IsolSegment_14_24SP,IsolSegment_8AP);
144;Point_8AP_44_48SP;;FieldCoord(-211, CoordinateSystem_EC);Line_8Put_Ribats;(IsolSegment_8AP,IsolSegment_44_48SP);
145;Point_44_48SP_8P;;FieldCoord(-85, CoordinateSystem_EC);Line_8Put_Ribats;(IsolSegment_44_48SP,IsolSegment_8P);
146;Point_8P_17_19SP;;FieldCoord(792, CoordinateSystem_EC);Line_8Put_Ribats;(IsolSegment_8P,IsolSegment_17_19SP);
147;Point_39SP_33_37SP;;FieldCoord(140, CoordinateSystem_EC);Line_19_Ribats;(IsolSegment_39SP,IsolSegment_33_37SP);
148;Point_33_37SP_M15P;;FieldCoord(350, CoordinateSystem_EC);Line_15_Ribats;(IsolSegment_33_37SP,IsolSegment_M15P);
149;Point_M15P_GroundRC;;FieldCoord(375, CoordinateSystem_EC);Line_15_Ribats;(IsolSegment_M15P,IsolSegment_GroundRC);
150;Point_33_37SP_GroundRC_17;;FieldCoord(246, CoordinateSystem_EC);Line_17_Ribats;(IsolSegment_33_37SP,IsolSegment_GroundRC);
151;Point_33_37SP_GroundRC_19;;FieldCoord(246, CoordinateSystem_EC);Line_19_Ribats;(IsolSegment_33_37SP,IsolSegment_GroundRC);
152;Point_6_8SP_GroundRC;Point_FictivEnd_3CHP;;;(IsolSegment_6_8SP,IsolSegment_GroundRC);
153;Point_44_48SP_54SP;;FieldCoord(-67, CoordinateSystem_EC);Line_13_Ribats;(IsolSegment_44_48SP,IsolSegment_54SP);
154;Point_54SP_43_47SP;;FieldCoord(4, CoordinateSystem_EC);Line_13_Ribats;(IsolSegment_54SP,IsolSegment_43_47SP);
155;Point_43_47SP_41SP;;FieldCoord(100, CoordinateSystem_EC);Line_9Put_Ribats;(IsolSegment_43_47SP,IsolSegment_41SP);
156;Point_41SP_9P;;FieldCoord(200, CoordinateSystem_EC);Line_9Put_Ribats;(IsolSegment_41SP,IsolSegment_9P);
157;Point_9P_GroundRC;;FieldCoord(767, CoordinateSystem_EC);Line_9Put_Ribats;(IsolSegment_9P,IsolSegment_GroundRC);
158;Point_41SP_10P;;FieldCoord(200, CoordinateSystem_EC);Line_10Put_Ribats;(IsolSegment_41SP,IsolSegment_10P);
159;Point_10P_GroundRC;;FieldCoord(767, CoordinateSystem_EC);Line_10Put_Ribats;(IsolSegment_10P,IsolSegment_GroundRC);
160;Point_43_47SP_M23P;;FieldCoord(164, CoordinateSystem_EC);Line_13_Ribats;(IsolSegment_43_47SP,IsolSegment_M23P);
161;Point_M23P_GroundRC;;FieldCoord(189, CoordinateSystem_EC);Line_13_Ribats;(IsolSegment_M23P,IsolSegment_GroundRC);
162;Point_43_47SP_11P;;FieldCoord(120, CoordinateSystem_EC);Line_11Put_Ribats;(IsolSegment_43_47SP,IsolSegment_11P);
163;Point_43_47SP_12P;;FieldCoord(115, CoordinateSystem_EC);Line_12Put_Ribats;(IsolSegment_43_47SP,IsolSegment_12P);
164;Point_11P_5_7SP;;FieldCoord(961, CoordinateSystem_EC);Line_11Put_Ribats;(IsolSegment_11P,IsolSegment_5_7SP);
165;Point_12P_5_7SP;;FieldCoord(1015, CoordinateSystem_EC);Line_12Put_Ribats;(IsolSegment_12P,IsolSegment_5_7SP);
166;Point_44_48SP_50SP;;FieldCoord(-124, CoordinateSystem_EC);Line_21_Ribats;(IsolSegment_44_48SP,IsolSegment_50SP);
167;Point_50SP_GroundRC;;FieldCoord(-67, CoordinateSystem_EC);Line_24_Ribats;(IsolSegment_50SP,IsolSegment_GroundRC);
168;Point_50SP_52SP;;FieldCoord(-63, CoordinateSystem_EC);Line_21_Ribats;(IsolSegment_50SP,IsolSegment_52SP);
169;Point_52SP_M33P;;FieldCoord(3, CoordinateSystem_EC);Line_33_Ribats;(IsolSegment_52SP,IsolSegment_M33P);
170;Point_M33P_GroundRC;;FieldCoord(28, CoordinateSystem_EC);Line_33_Ribats;(IsolSegment_M33P,IsolSegment_GroundRC);
171;Point_52SP_M21_M31P;;FieldCoord(3, CoordinateSystem_EC);Line_21_Ribats;(IsolSegment_52SP,IsolSegment_M21_M31P);
172;Point_M21_M31P_M21P;;FieldCoord(203, CoordinateSystem_EC);Line_21_Ribats;(IsolSegment_M21_M31P,IsolSegment_M21P);
173;Point_M21P_GroundRC;;FieldCoord(228, CoordinateSystem_EC);Line_21_Ribats;(IsolSegment_M21P,IsolSegment_GroundRC);
174;Point_GroundRC_44_48SP;Point_s48;;;(IsolSegment_GroundRC,IsolSegment_44_48SP);
175;Point_GroundRC_54SP;Point_s54;;;(IsolSegment_GroundRC,IsolSegment_54SP);
176;Point_GroundRC_33_37SP;Point_s37;;;(IsolSegment_GroundRC,IsolSegment_33_37SP);
177;Point_10SP_12SP;;FieldCoord(-766, CoordinateSystem_EC);Line_Desc_10_12;(IsolSegment_10SP,IsolSegment_12SP);
178;Point_14_24SP_16_34SP;;FieldCoord(-600, CoordinateSystem_EC);Line_Desc_14_16;(IsolSegment_14_24SP,IsolSegment_16_34SP);
179;Point_16_34SP_36_40SP;;FieldCoord(-349, CoordinateSystem_EC);Line_Desc_34_36;(IsolSegment_16_34SP,IsolSegment_36_40SP);
180;Point_36_40SP_42SP;;FieldCoord(-205, CoordinateSystem_EC);Line_Desc_40_42;(IsolSegment_36_40SP,IsolSegment_42SP);
181;Point_2SP_4SP;;FieldCoord(-847, CoordinateSystem_EC);Line_Desc_2_4;(IsolSegment_2SP,IsolSegment_4SP);
182;Point_18_26SP_20SP;;FieldCoord(-645, CoordinateSystem_EC);Line_Desc_18_20;(IsolSegment_18_26SP,IsolSegment_20SP);
183;Point_18_26SP_16_34SP;;FieldCoord(-495, CoordinateSystem_EC);Line_Desc_26_28;(IsolSegment_18_26SP,IsolSegment_16_34SP);
184;Point_30SP_32SP;;FieldCoord(-405, CoordinateSystem_EC);Line_Desc_30_32;(IsolSegment_30SP,IsolSegment_32SP);
185;Point_31SP_29SP;;FieldCoord(471, CoordinateSystem_EC);Line_Desc_29_31;(IsolSegment_31SP,IsolSegment_29SP);
186;Point_25SP_23SP;;FieldCoord(743, CoordinateSystem_EC);Line_Desc_23_25;(IsolSegment_25SP,IsolSegment_23SP);
187;Point_11SP_9_13SP;;FieldCoord(971, CoordinateSystem_EC);Line_Desc_9_11;(IsolSegment_11SP,IsolSegment_9_13SP);
188;Point_15SP_9_13SP;;FieldCoord(925, CoordinateSystem_EC);Line_Desc_13_15;(IsolSegment_15SP,IsolSegment_9_13SP);
189;Point_3SP_1SP;;FieldCoord(1099, CoordinateSystem_EC);Line_Desc_1_3;(IsolSegment_3SP,IsolSegment_1SP);
190;Point_3NP_3RC_Izori;Point_Link_Ribats_Izori_3;;;(IsolSegment_3NP,IsolSegment_3RC_Izori);
191;Point_1NP_1N1P;Point_Link_Ribats_PeregIzori_1;;;(IsolSegment_1NP,IsolSegment_1N1P);
192;Point_2NDP_2N2P;Point_Link_Ribats_PeregIzori_2;;;(IsolSegment_2NDP,IsolSegment_2N2P);
193;Point_4NDP_4N2P;Point_Link_Ribats_PeregIzori_4;;;(IsolSegment_4NDP,IsolSegment_4N2P);
194;Point_1N1P_1N3P;;FieldCoord( 'PK_162+45' , CoordinateSystem_Picket_AB);Line_PeregIzori_1;(IsolSegment_1N1P,IsolSegment_1N3P);
195;Point_1N3P_1N5P;;FieldCoord( 'PK_167+45' , CoordinateSystem_Picket_AB);Line_PeregIzori_1;(IsolSegment_1N3P,IsolSegment_1N5P);
196;Point_1N5P_1N7P;;FieldCoord( 'PK_170+45' , CoordinateSystem_Picket_AB);Line_PeregIzori_1;(IsolSegment_1N5P,IsolSegment_1N7P);
197;Point_1N7P_1N9P;;FieldCoord( 'PK_173+80', CoordinateSystem_Picket_AB );Line_PeregIzori_1;(IsolSegment_1N7P,IsolSegment_1N9P);
198;Point_1N9P_1N11P;;FieldCoord( 'PK_178+50' , CoordinateSystem_Picket_AB);Line_PeregIzori_1;(IsolSegment_1N9P,IsolSegment_1N11P);
199;Point_1N11P_1N13P;;FieldCoord( 'PK_181+50' , CoordinateSystem_Picket_AB);Line_PeregIzori_1;(IsolSegment_1N11P,IsolSegment_1N13P);
200;Point_2N2P_2N4P;;FieldCoord( 'PK_162+35', CoordinateSystem_Picket_AB );Line_PeregIzori_2;(IsolSegment_2N2P,IsolSegment_2N4P);
201;Point_2N4P_2N6P;;FieldCoord( 'PK_165+35', CoordinateSystem_Picket_AB );Line_PeregIzori_2;(IsolSegment_2N4P,IsolSegment_2N6P);
202;Point_2N6P_2N8P;;FieldCoord( 'PK_167+75' , CoordinateSystem_Picket_AB);Line_PeregIzori_2;(IsolSegment_2N6P,IsolSegment_2N8P);
203;Point_2N8P_2N10P;;FieldCoord( 'PK_170+75' , CoordinateSystem_Picket_AB);Line_PeregIzori_2;(IsolSegment_2N8P,IsolSegment_2N10P);
